Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,21975,22033,21596,22463,21155
Interest Expense,9600,8854,5289,3617,3313
Income Before Tax,5357,4851,4463,6193,5580
Income Tax Expense,1456,1293,2725,2274,2014
Income from Continuing Operations,3901,3558,1738,3919,3566
Net Income,3901,3558,1738,3919,3566
Net Income available to common shareholders,3901,3558,1738,3919,3566
Basic EPS,-,1.02,0.47,1.06,0.96
Diluted EPS,-,1.01,0.47,1.06,0.95
Basic Average Shares,-,3476,3659,3683,3732
Diluted Average Shares,-,3530,3699,3712,3735
