Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-6098,-5007,-2794,-2818
Sales/Maturities of investments,-,-,-,313.19
Net cash used for investing activites,-6033,-4895,-2761,-2442
Debt repayment,-,-9526,-,-1646
Common stock issued,-,51083,2162,22491
Other financing activites,-,-36.223,-,-
Net cash used privided by (used for) financing activities,23197,47121,11497,20845
Net change in cash,-6410,12163,-7735,3591
Cash at beginning of period,8524,4140,11875,8284
Cash at end of period,2114,16303,4140,11875
Capital Expenditure,-6098,-5007,-2794,-2818
Free Cash Flow,-29672,-35069,-19265,-17630
