Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1127,-1162,-2480,-2987,-2795
Purchases of investments,-,-53.832,-1.5,-342.716,-37.5
Sales/Maturities of investments,-,-,2204,387.27,-
Other investing activites,740.33,528.505,612.299,-4.021,1162
Net cash used for investing activites,-445.423,-687.814,335.773,-2940,-1671
Common stock issued,1385,1135,-,3178,1395
Common stock repurchased,-32.099,-21.09,-,-301.996,-16.18
Other financing activites,-,-,-,1500,-
Net cash used privided by (used for) financing activities,2053,1464,-,4376,1379
Net change in cash,750.356,-18.898,-388.28,384.612,-752.615
Cash at beginning of period,484.367,351.438,739.718,355.106,1108
Cash at end of period,1235,332.54,351.438,739.718,355.106
Capital Expenditure,-1127,-1162,-2480,-2987,-2795
Free Cash Flow,-1984,-1958,-3204,-4038,-3255
