Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-1068,-1068,-252.9006,-737.8115
Acquisitions net,-289.1779,-289.1779,-,-
Purchases of investments,-,-,-606.1877,-
Sales/Maturities of investments,23015,23015,-,-
Other investing activites,-11790,-11790,-657.1027,-23543
Net cash used for investing activites,11219,11219,90.4933,-24252
Debt repayment,-568.5066,-568.5066,-,698.1456
Common stock issued,-,-,-,25042
Common stock repurchased,-,-,-,-1551
Dividends Paid,-1143,-1143,-,-
Other financing activites,-160.169,-160.169,-946.9696,-
Net cash used privided by (used for) financing activities,1768,1768,-1489,30591
Net change in cash,17520,17520,10197,8932
Cash at beginning of period,20369,20369,10312,914.0681
Cash at end of period,37869,37869,20507,9847
Capital Expenditure,-1068,-1068,-252.9006,-737.8115
Free Cash Flow,3465,3465,11342,1856
