Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,168105,161513,134706,271162
Depreciation & amortization,-,23079,12920,7286
Stock based compensation,-,1577,482,400
Change in working capital,-,47632,-28522,-112505
Inventory,-,0,-,8685
Other working capital,306082,262049,-625686,59804
Other non-cash items,-,-32086,11541,5712
Net cash provided by operating activites,317269,273236,71085,72990
Investments in property plant and equipment,-,-11187,-696771,-13186
Acquisitions net,-,-1092,-3616,-54963
Purchases of investments,-,-569194,-2511864,-2123542
Sales/Maturities of investments,-,953365,2723760,704770
Other investing activites,-,41564,-,-
Net cash used for investing activites,23243,456532,-402838,-76818
Net change in cash,166965,-8875,-11475,27491
Cash at beginning of period,173891,165471,178171,151496
Cash at end of period,340856,158900,165471,178171
Operating Cash Flow,317269,273236,71085,72990
Capital Expenditure,-,-11187,-696771,-13186
Free Cash Flow,306082,262049,-625686,59804
