Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,154348,154348,138648,121692,116975
Interest Expense,17407,17407,11098,8885,8405
Income Before Tax,62088,62088,58653,44024,39218
Income Tax Expense,11571,11571,11364,16453,12010
Income from Continuing Operations,50517,50517,47289,27571,27208
Net Income,50517,50517,47289,27571,27208
Net Income available to common shareholders,50517,50517,47289,27571,27208
Basic EPS,-,-,1.90,1.23,1.11
Diluted EPS,-,-,1.89,1.22,1.11
Basic Average Shares,-,-,24859,22457,24463
Diluted Average Shares,-,-,25018,22573,24463
