Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,28080000,29372000,27142000,24026000
Depreciation & amortization,10619000,10915000,10510000,8889000
Change in working capital,-2544000,-8852000,-3081000,-939000
Inventory,-2171000,-4304000,-1309000,2054000
Other working capital,25019000,21606000,22933000,18529000
Other non-cash items,-1823000,-803000,-202000,-318000
Net cash provided by operating activites,34495000,32070000,37691000,32491000
Investments in property plant and equipment,-9476000,-10464000,-14758000,-13962000
Purchases of investments,-328000,-910000,-759000,-787000
Sales/Maturities of investments,2996000,450000,65000,2988000
Other investing activites,-971000,40000,208000,-1391000
Net cash used for investing activites,-14114000,-10884000,-15244000,-13152000
Net change in cash,-5108000,-1518000,2000000,390000
Cash at beginning of period,23099000,37702000,35701000,35335000
Cash at end of period,18212000,36183000,37702000,35701000
Operating Cash Flow,34495000,32070000,37691000,32491000
Capital Expenditure,-9476000,-10464000,-14758000,-13962000
Free Cash Flow,25019000,21606000,22933000,18529000
