Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-,-,-773.722,-937.147
Net cash used for investing activites,-,-,-771.025,-937.147
Debt repayment,-,-,-397.016,-641.363
Common stock issued,-,783.689,4000,7000
Common stock repurchased,-,-74.979,-240,-734.447
Net cash used privided by (used for) financing activities,918.79,804.997,3386,5692
Net change in cash,-223.569,-1738,-420.906,1634
Cash at beginning of period,446.112,2213,2637,1008
Cash at end of period,222.543,474.682,2213,2637
Capital Expenditure,-,-,-773.722,-937.147
Free Cash Flow,-1142,-2543,-3810,-4058
