Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4946745,4875254,4682976,4290025
Liabilities,,,,
Total Liabilities,4348645,4353550,4214309,3862958
Stockholders' Equity,,,,
Common Stock,114858,112383,108862,104405
Retained Earnings,475247,419179,363794,327873
Accumulated other comprehensive income,12059,-6191,-670,-2387
Total stockholders' equity,598011,521615,468578,426978
Total liabilities and stockholders' equity,4946745,4875254,4682976,4290025
