Attribute,Value
Previous Close,21.18
Open,21.18
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,20.87 - 21.18
52 Week Range,11.90 - 26.45
Volume,20615
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
