Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1323627,1492747,1369393,1016838
Depreciation & amortization,-,126447,127910,131492
Change in working capital,-,-1814447,-1066504,-510772
Inventory,-,-1613311,-1086284,-575338
Other working capital,1982575,-999913,257134,563866
Other non-cash items,-,4200,-22530,-14971
Net cash provided by operating activites,2320451,-112996,469837,720364
Investments in property plant and equipment,-337876,-886917,-212703,-156498
Purchases of investments,-,-,-,-261978
Sales/Maturities of investments,-,197808,134760,-
Other investing activites,-,-,-,3250
Net cash used for investing activites,-332381,-656395,-80722,-408454
Net change in cash,960507,306251,243202,-819460
Cash at beginning of period,1640261,1900059,1529206,2361595
Cash at end of period,2600768,2086522,1900059,1529206
Operating Cash Flow,2320451,-112996,469837,720364
Capital Expenditure,-337876,-886917,-212703,-156498
Free Cash Flow,1982575,-999913,257134,563866
