Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1157390,1075683,1259908,1134067
Depreciation & amortization,-,897872,862090,859303
Change in working capital,-,-632099,-318854,-23619
Inventory,-,-115744,-3025,-109906
Other working capital,-,23123,1022084,1578860
Other non-cash items,-,11297,-20738,15222
Net cash provided by operating activites,-,1324919,1740938,2243841
Investments in property plant and equipment,-,-1301796,-718854,-664981
Other investing activites,-,99,8928,9999
Net cash used for investing activites,-,-1301697,-709926,-673720
Net change in cash,-,-367158,665112,1041311
Cash at beginning of period,-,3638102,2972990,1931678
Cash at end of period,-,3270944,3638102,2972990
Operating Cash Flow,-,1324919,1740938,2243841
Capital Expenditure,-,-1301796,-718854,-664981
Free Cash Flow,-,23123,1022084,1578860
