Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6258000,4317000,3886000,2745000
Depreciation & amortization,-,3442000,3262000,3216000
Change in working capital,-,-3045000,-3950000,845000
Inventory,-,-930000,716000,-70000
Other working capital,-,-1615000,-622000,4704000
Other non-cash items,-,724000,554000,553000
Net cash provided by operating activites,-,5248000,3111000,8550000
Investments in property plant and equipment,-,-6863000,-3733000,-3846000
Purchases of investments,-,-28000,-77000,-194000
Sales/Maturities of investments,-,123000,64000,0
Other investing activites,-,919000,5517000,386000
Net cash used for investing activites,-,-6233000,3637000,-3555000
Net change in cash,-,301000,413000,539000
Cash at beginning of period,-,17682000,17269000,16729000
Cash at end of period,-,17984000,17682000,17269000
Operating Cash Flow,-,5248000,3111000,8550000
Capital Expenditure,-,-6863000,-3733000,-3846000
Free Cash Flow,-,-1615000,-622000,4704000
