Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,337696,117374,251144,220459
Depreciation & amortization,-,98144,89522,77894
Change in working capital,-,-917703,-1248940,3359
Inventory,-,2149,-4918,-1620
Other working capital,-,-947914,-1104316,1204237
Other non-cash items,-,98333,14593,1023555
Net cash provided by operating activites,-,-763982,-993991,1294754
Investments in property plant and equipment,-,-183932,-110325,-90517
Other investing activites,-,-25807,-27409,-1752
Net cash used for investing activites,-,-209739,-137107,-92252
Net change in cash,-,100120,-1175804,1317458
Cash at beginning of period,-,796715,1972520,655062
Cash at end of period,-,896836,796715,1972520
Operating Cash Flow,-,-763982,-993991,1294754
Capital Expenditure,-,-183932,-110325,-90517
Free Cash Flow,-,-947914,-1104316,1204237
