Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,61416000,65003000,63365000,48999000
Liabilities,,,,
Total Liabilities,54873000,58441000,56434000,42727000
Stockholders' Equity,,,,
Common Stock,691000,691000,692000,397000
Retained Earnings,1464000,684000,-317000,-909000
Accumulated other comprehensive income,-28000,-275000,-26000,-137000
Total stockholders' equity,6543000,6562000,6931000,6272000
Total liabilities and stockholders' equity,61416000,65003000,63365000,48999000
