Breakdown,ttm,8/31/2019,8/31/2018
Total Revenue,2660807,2660807,1374843
Cost of Revenue,832781,832781,352220
Gross Profit,1828026,1828026,1022623
Selling General and Administrative,178066,178066,98719
Total Operating Expenses,244774,244774,125107
Operating Income or Loss,1583252,1583252,897516
Interest Expense,64619,64619,32979
Income Before Tax,1486850,1486850,584818
Income Tax Expense,1740,1740,1662
Income from Continuing Operations,1485110,1485110,583156
Net Income,1485110,1485110,583155
Net Income available to common shareholders,1485110,1485110,583155
Basic Average Shares,-,-,126.587
Diluted Average Shares,-,-,126.587
