Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-80.616,-11.869,-,-,-
Acquisitions net,-,-0.672,-,-,-
Sales/Maturities of investments,-,-,-,-,67.407
Other investing activites,-,-250,-,-,-
Net cash used for investing activites,-330.617,-262.541,-,-,67.407
Common stock issued,1602,1178,1244,1584,747.008
Common stock repurchased,-125.388,-123.564,-182.318,-134.513,-
Net cash used privided by (used for) financing activities,1456,1055,1242,1450,747.008
Net change in cash,-330.895,-360.065,374.722,-85.366,223.357
Cash at beginning of period,1426,847.922,473.117,558.326,335.208
Cash at end of period,1095,487.862,847.923,473.117,558.326
Capital Expenditure,-80.616,-11.869,-,-,-
Free Cash Flow,-1537,-1164,-867.12,-1535,-591.058
