Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-169331,-169331,-218649,-219072,-98068
Acquisitions net,-12751,-12751,-1944,-801495,35038
Sales/Maturities of investments,-,-,-,-,19520
Other investing activites,-138015,-138015,-,128,-
Net cash used for investing activites,-320097,-320097,-220593,-1012762,-43245
Debt repayment,-,-,-1027057,-,-595000
Common stock issued,-,-,-,673419,1307
Dividends Paid,-,-,-,-60781,-50860
Other financing activites,-11620,-11620,-22232,-12295,-8852
Net cash used privided by (used for) financing activities,52615,52615,-24173,802910,21078
Net change in cash,29285,29285,7720,-78435,113459
Cash at beginning of period,57914,57914,50194,128629,15170
Cash at end of period,87199,87199,57914,50194,128629
Capital Expenditure,-169331,-169331,-218649,-219072,-98068
Free Cash Flow,127436,127436,33837,-87655,37558
