Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2550000,1119000,381000,335000
Depreciation & amortization,-,1715000,1748000,1511000
Change in working capital,-,-664000,-695000,-574000
Inventory,-,-217000,-980000,565000
Other working capital,-,1227000,-1373000,-2033000
Other non-cash items,-,39000,266000,30000
Net cash provided by operating activites,-,2114000,977000,957000
Investments in property plant and equipment,-,-887000,-2350000,-2990000
Purchases of investments,-,-10000,-19000,-98000
Sales/Maturities of investments,-,-,1139000,91000
Other investing activites,-,-150000,162000,390000
Net cash used for investing activites,-,-999000,-847000,-2445000
Net change in cash,-,488000,-498000,-1914000
Cash at beginning of period,-,14284000,14783000,16697000
Cash at end of period,-,14773000,14284000,14783000
Operating Cash Flow,-,2114000,977000,957000
Capital Expenditure,-,-887000,-2350000,-2990000
Free Cash Flow,-,1227000,-1373000,-2033000
