Breakdown,4/30/2019,4/30/2018,10/31/2016
Total Assets,184271,203546,185520
Liabilities,,,
Total Liabilities,19653,37747,27753
Stockholders' Equity,,,
Common Stock,1896,1896,120281
Total stockholders' equity,164618,165799,157767
Total liabilities and stockholders' equity,184271,203546,185520
