Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-11715,-3183,-1596,-1379,-6011
Other investing activites,-,-,-,-,649.883
Net cash used for investing activites,-11715,-3183,-1596,-1379,-5361
Debt repayment,-,-,-,-8664,-4765
Common stock issued,-,3217,5006,4400,4493
Common stock repurchased,-,-72.641,-299.698,-231.653,-30.528
Other financing activites,-,-,-,-,2031
Net cash used privided by (used for) financing activities,-,3144,5090,6422,1729
Net change in cash,3458,-2221,1330,2163,-6903
Cash at beginning of period,829.181,3657,2403,221.576,7112
Cash at end of period,4288,1378,3657,2403,221.576
Capital Expenditure,-11715,-3183,-1596,-1379,-6011
Free Cash Flow,-15713,-5365,-3760,-4259,-9282
