Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1898467,1724338,1125034,911984
Liabilities,,,,
Total Liabilities,1674714,1515924,984897,805065
Stockholders' Equity,,,,
Common Stock,11206,11531,9034,7778
Retained Earnings,40472,27329,17189,12212
Accumulated other comprehensive income,5069,-3684,1477,-2116
Total stockholders' equity,223753,208414,140137,106919
Total liabilities and stockholders' equity,1898467,1724338,1125034,911984
