Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,4482808,4482808,4004951
Cost of Revenue,2972976,2972976,2698161
Gross Profit,1509832,1509832,1306790
Total Operating Expenses,1250227,1250227,1179202
Operating Income or Loss,259605,259605,127588
Interest Expense,3156,3156,5091
Income Before Tax,276692,276692,127866
Income Tax Expense,97176,97176,44237
Income from Continuing Operations,179516,179516,83629
Net Income,179516,179516,83628
Net Income available to common shareholders,179516,179516,83628
Basic EPS,-,-,37.48
Diluted EPS,-,-,37.48
Basic Average Shares,-,-,2232
Diluted Average Shares,-,-,2232
