Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,19883,120673,136438,94096
Depreciation & amortization,-,104074,127980,153171
Change in working capital,-,9271,40862,-20699
Inventory,-,-3653,3151,-1712
Other working capital,-,306470,181372,386355
Other non-cash items,-,1102,1517,792
Net cash provided by operating activites,-,363141,238937,462421
Investments in property plant and equipment,-,-56671,-57565,-76066
Acquisitions net,-,-8058,-33573,-109718
Purchases of investments,-,-60000,-617302,-368
Sales/Maturities of investments,-,60000,-,-
Other investing activites,-,15376,457872,25805
Net cash used for investing activites,-,-45226,-253461,-107712
Net change in cash,-,139820,-192631,245058
Cash at beginning of period,-,823892,1016524,771466
Cash at end of period,-,963712,823892,1016524
Operating Cash Flow,-,363141,238937,462421
Capital Expenditure,-,-56671,-57565,-76066
Free Cash Flow,-,306470,181372,386355
