Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,364376,361106,279224,200703
Depreciation & amortization,-,61745,37625,29174
Stock based compensation,-,12542,3724,14859
Change in working capital,-,-221182,17254,-60456
Inventory,-,-20180,-9875,-826.047
Other working capital,-,-49032,272120,129556
Other non-cash items,-,-9274,-8034,-4512
Net cash provided by operating activites,-,238451,323772,179981
Investments in property plant and equipment,-,-287483,-51652,-50424
Acquisitions net,-,-4918,-78822,-53648
Purchases of investments,-,-40295,-744060,-798944
Sales/Maturities of investments,-,292558,501119,745281
Other investing activites,-,407920,-237160,342989
Net cash used for investing activites,-,-17127,-545170,-153212
Net change in cash,-,72415,93012,-153284
Cash at beginning of period,-,295481,200644,354718
Cash at end of period,-,366970,295481,200644
Operating Cash Flow,-,238451,323772,179981
Capital Expenditure,-,-287483,-51652,-50424
Free Cash Flow,-,-49032,272120,129556
