Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,25913000,25341000,20907000,18724000
Depreciation & amortization,-,9911000,10274000,10121000
Change in working capital,-,-13612000,-63124000,-68468000
Inventory,-,2098000,2193000,2800000
Other working capital,-,26396000,-19329000,-45955000
Other non-cash items,-,6200000,12284000,6187000
Net cash provided by operating activites,-,26396000,-19329000,-45955000
Purchases of investments,-,-2765000,-1793000,-399000
Sales/Maturities of investments,-,113000,8562000,2016000
Other investing activites,-,-4780000,-6022000,378000
Net cash used for investing activites,-,-7432000,747000,1995000
Net change in cash,-,1283000,9191000,3670000
Cash at beginning of period,-,45437000,36245000,32575000
Cash at end of period,-,46720000,45437000,36245000
Operating Cash Flow,-,26396000,-19329000,-45955000
Free Cash Flow,-,26396000,-19329000,-45955000
