Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1372000,1191000,578000,109000,705000
Depreciation & amortization,1356000,1356000,1399000,1666000,1661000
Change in working capital,272000,272000,488000,644000,-223000
Inventory,-138000,-138000,106000,877000,-377000
Other working capital,627000,627000,1024000,1349000,414000
Other non-cash items,-50000,-50000,47000,-29000,19000
Net cash provided by operating activites,2621000,2621000,2802000,2412000,1954000
Investments in property plant and equipment,-1994000,-1994000,-1778000,-1063000,-1540000
Sales/Maturities of investments,40000,40000,-,-,-
Other investing activites,-3000,-3000,-14000,-4000,3000
Net cash used for investing activites,-1956000,-1956000,-1792000,-1066000,-1537000
Net change in cash,314000,314000,685000,939000,-116000
Cash at beginning of period,10005000,10005000,9319000,8380000,8496000
Cash at end of period,10319000,10319000,10005000,9319000,8380000
Operating Cash Flow,2621000,2621000,2802000,2412000,1954000
Capital Expenditure,-1994000,-1994000,-1778000,-1063000,-1540000
Free Cash Flow,627000,627000,1024000,1349000,414000
