Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,87714,87714,81300,53653,46015
Interest Expense,22124,22124,13771,5167,4562
Income Before Tax,22073,22073,-4725,10352,8239
Income Tax Expense,5192,5192,-897,3152,2936
Income from Continuing Operations,16881,16881,-3828,7200,5303
Net Income,16881,16881,-3828,7200,5303
Net Income available to common shareholders,16881,16881,-3828,7200,5137
Basic EPS,-,-,-0.22,0.75,0.74
Diluted EPS,-,-,-0.22,0.75,0.74
Basic Average Shares,-,-,19039,9556,6976
Diluted Average Shares,-,-,19039,9556,6976
