Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,139282,139282,122809,110292,97089
Interest Expense,39530,39530,26950,17365,13028
Income Before Tax,48641,48641,40229,36252,27711
Income Tax Expense,8560,8560,6510,12392,7171
Income from Continuing Operations,40081,40081,33719,23860,20540
Net Income,40081,40081,33719,23860,20540
Net Income available to common shareholders,39934,39934,33569,23725,20411
Basic EPS,-,-,2.22,1.56,1.42
Diluted EPS,-,-,2.21,1.56,1.42
Basic Average Shares,-,-,15207,15265,14468
Diluted Average Shares,-,-,15274,15265,14468
