Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,263057,261229,242943,224035
Liabilities,,,,
Total Liabilities,29930,30161,25268,26208
Stockholders' Equity,,,,
Common Stock,0,0,0,0
Total stockholders' equity,233127,231068,217675,197827
Total liabilities and stockholders' equity,263057,261229,242943,224035
