Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6973000,6105000,8785000,6494000
Depreciation & amortization,-,2786000,2687000,2697000
Change in working capital,-,-69543000,-20285000,-55176000
Other working capital,-,-65326000,-12682000,-52794000
Other non-cash items,-,-27370000,-26064000,-30183000
Net cash provided by operating activites,-,-61286000,-8384000,-49329000
Investments in property plant and equipment,-,-4040000,-4298000,-3465000
Purchases of investments,-,-189870000,-255001000,-211810000
Sales/Maturities of investments,-,313809000,260269000,254994000
Other investing activites,-,-1000,-,-
Net cash used for investing activites,-,120371000,1221000,39988000
Net change in cash,-,50667000,-10081000,-11284000
Cash at beginning of period,-,202959000,213040000,224324000
Cash at end of period,-,253626000,202959000,213040000
Operating Cash Flow,-,-61286000,-8384000,-49329000
Capital Expenditure,-,-4040000,-4298000,-3465000
Free Cash Flow,-,-65326000,-12682000,-52794000
