Breakdown,ttm,6/30/2019,6/30/2018
Total Revenue,297883,-35824,-134817
Interest Expense,14615,12416,1658
Income Before Tax,254276,-75789,-108073
Income Tax Expense,72707,-26387,-32634
Income from Continuing Operations,181569,-49402,-75439
Net Income,181569,-49402,-75439
Net Income available to common shareholders,181569,-49402,-75439
Basic EPS,-,-0.07,-0.11
Diluted EPS,-,-0.07,-0.11
Basic Average Shares,-,664839,664839
Diluted Average Shares,-,664839,664839
