Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1799000,1463000,1842000,3284000
Depreciation & amortization,6635000,6433000,5688000,5442000
Change in working capital,-347000,-1641000,-4080000,-1376000
Inventory,-633000,266000,-1208000,-626000
Other working capital,8519000,6695000,3152000,8758000
Other non-cash items,-137000,281000,971000,1492000
Net cash provided by operating activites,8519000,6695000,3152000,8758000
Purchases of investments,-33000,-32000,-31000,-30000
Sales/Maturities of investments,93000,532000,544000,1144000
Other investing activites,-6694000,-8034000,-8067000,-6830000
Net cash used for investing activites,-6634000,-7534000,-7554000,-5716000
Net change in cash,812000,-582000,-7661000,-630000
Cash at beginning of period,8476000,8709000,16370000,17001000
Cash at end of period,9287000,8127000,8709000,16370000
Operating Cash Flow,8519000,6695000,3152000,8758000
Free Cash Flow,8519000,6695000,3152000,8758000
