Breakdown,ttm,3/31/2019,3/31/2018
Net Income,-183865,-183865,-340533
Depreciation & amortization,17828,17828,15344
Change in working capital,199617,199617,3561
Inventory,-55,-55,-
Other working capital,21916,21916,-354131
Other non-cash items,1103,1103,28762
Net cash provided by operating activites,34172,34172,-321554
Investments in property plant and equipment,-12256,-12256,-32577
Other investing activites,-,-,-22285
Net cash used for investing activites,-12256,-12256,-54699
Net change in cash,597070,597070,103673
Cash at beginning of period,201998,201998,98325
Cash at end of period,799069,799069,201998
Operating Cash Flow,34172,34172,-321554
Capital Expenditure,-12256,-12256,-32577
Free Cash Flow,21916,21916,-354131
