Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1430840,1393150,1336190,1249816
Liabilities,,,,
Total Liabilities,1275361,1255689,1212187,1135280
Stockholders' Equity,,,,
Common Stock,224,221,221,220
Retained Earnings,2562,-10244,-23932,-31128
Accumulated other comprehensive income,1965,-1279,43,-1223
Total stockholders' equity,155479,137461,124003,114536
Total liabilities and stockholders' equity,1430840,1393150,1336190,1249816
