Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1515313,1251878,1232755,1210442
Liabilities,,,,
Total Liabilities,1384807,1156186,1142433,1117054
Stockholders' Equity,,,,
Common Stock,9499,8445,8439,17799
Retained Earnings,76978,69459,59230,51466
Accumulated other comprehensive income,362,-8190,-6492,-5022
Total stockholders' equity,130506,95692,90323,93388
Total liabilities and stockholders' equity,1515313,1251878,1232755,1210442
