Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-233,-233,-194
Acquisitions net,-6379,-6379,-
Sales/Maturities of investments,-,4503,-
Other investing activites,437,437,-
Net cash used for investing activites,-1212,-1212,-19
Debt repayment,-728,-728,-18489
Common stock issued,-,-,43455
Common stock repurchased,-,-,-445
Dividends Paid,-4217,-4217,-
Other financing activites,-4282,-4282,-28234
Net cash used privided by (used for) financing activities,-8391,-8391,706
Net change in cash,7794,7794,17296
Cash at beginning of period,22269,22269,4973
Cash at end of period,30063,30063,22269
Capital Expenditure,-233,-233,-194
Free Cash Flow,17164,17164,16415
