Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,15573000,14851000,15472000,15635000
Depreciation & amortization,-,11969000,11656000,11343000
Change in working capital,-,-3515000,-7979000,3953000
Inventory,-,-3759000,-682000,-1504000
Other working capital,-,10731000,7177000,16552000
Other non-cash items,-,1113000,711000,1151000
Net cash provided by operating activites,-,26803000,20121000,31390000
Investments in property plant and equipment,-,-16072000,-12944000,-14838000
Acquisitions net,-,-180000,-1473000,-
Purchases of investments,-,-1414000,-2320000,-1016000
Sales/Maturities of investments,-,33000,712000,3486000
Other investing activites,-,-452000,-168000,-298000
Net cash used for investing activites,-,-17694000,-16171000,-11913000
Net change in cash,-,2165000,-1252000,4320000
Cash at beginning of period,-,50532000,51785000,47464000
Cash at end of period,-,52697000,50532000,51785000
Operating Cash Flow,-,26803000,20121000,31390000
Capital Expenditure,-,-16072000,-12944000,-14838000
Free Cash Flow,-,10731000,7177000,16552000
