Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-119353,-119353,-172740,-260361,-180270
Acquisitions net,-,-,-4407,-31249,-26549
Purchases of investments,-,-,-,-,-6813
Sales/Maturities of investments,-,-,91,5,-
Other investing activites,29805,29805,-1609,-472,288
Net cash used for investing activites,-89548,-89548,-178665,-282989,-191344
Debt repayment,-107647,-107647,-115191,-150127,-113698
Dividends Paid,-83731,-83731,-83564,-81886,-91519
Net cash used privided by (used for) financing activities,-85378,-85378,-29090,43752,-11359
Net change in cash,-3557,-3557,-6,-50556,9767
Cash at beginning of period,95564,95564,92318,145040,133680
Cash at end of period,93761,93761,95564,92318,145040
Capital Expenditure,-119353,-119353,-172740,-260361,-180270
Free Cash Flow,52016,52016,35009,-71680,32200
