Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,897787,870571,862471,797694
Depreciation & amortization,-,649905,640124,608272
Change in working capital,-,198373,-239933,-252115
Inventory,-,-18996,90907,-11842
Other working capital,-,1357502,1086199,944822
Other non-cash items,-,109313,131380,-92915
Net cash provided by operating activites,-,1870431,1428035,1195369
Investments in property plant and equipment,-,-512929,-341836,-250547
Purchases of investments,-,-344506,-125679,-22443
Sales/Maturities of investments,-,120000,100000,-
Other investing activites,-,-24604,-27398,23117
Net cash used for investing activites,-,-754469,-385371,-246738
Net change in cash,-,439880,405304,360993
Cash at beginning of period,-,7756503,7339146,6978152
Cash at end of period,-,8196383,7756503,7339146
Operating Cash Flow,-,1870431,1428035,1195369
Capital Expenditure,-,-512929,-341836,-250547
Free Cash Flow,-,1357502,1086199,944822
