Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Acquisitions net,-,-,-,-27251,-
Purchases of investments,-642401,-578525,-231929,-9462,-60716
Sales/Maturities of investments,-,56038,10008,37202,-
Other investing activites,-,-,-,-587,-
Net cash used for investing activites,-655382,-522487,-221921,-98,-60716
Debt repayment,-,-294000,-65000,-,-
Common stock issued,457503,275845,150450,-,-
Common stock repurchased,-,-7753,-5131,-,-356
Dividends Paid,-62423,-53027,-37213,-20748,-20181
Other financing activites,-12174,17493,-2574,-1558,-432
Net cash used privided by (used for) financing activities,593353,463509,183559,-18631,36448
Net change in cash,17500,-1432,10791,3276,-1362
Cash at beginning of period,19192,18978,8187,4911,6273
Cash at end of period,36692,17546,18978,8187,4911
Free Cash Flow,79529,57546,49153,22005,22906
