Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,6182890,5835067,5228332,4006419
Liabilities,,,,
Total Liabilities,5338932,5087341,4793836,3671444
Stockholders' Equity,,,,
Common Stock,378,393,96,85
Retained Earnings,252813,213048,167164,127190
Accumulated other comprehensive income,6339,-33111,9166,22920
Total stockholders' equity,839911,744152,434496,334975
Total liabilities and stockholders' equity,6182890,5835067,5228332,4006419
