Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Purchases of investments,-56305,-62918,-59371,-56400
Sales/Maturities of investments,67287,73166,71930,70158
Net cash used for investing activites,10982,10248,12559,13758
Net change in cash,2196,-1047,-210,-4489
Cash at beginning of period,5621,4872,5314,10504
Cash at end of period,7817,3622,4872,5314
Free Cash Flow,14064,14497,12755,14853
