Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,232144,232144,218611,174942,164125
Interest Expense,18168,18168,12413,8346,6006
Income Before Tax,81045,81045,64087,60147,52721
Income Tax Expense,13488,13488,11030,18356,13803
Income from Continuing Operations,67557,67557,53057,41791,38918
Net Income,67557,67557,53057,41791,38918
Net Income available to common shareholders,67500,67500,52736,41498,38560
Basic EPS,-,-,1.49,1.29,1.30
Diluted EPS,-,-,1.49,1.29,1.30
Basic Average Shares,-,-,35194,29758,29678
Diluted Average Shares,-,-,35372,29849,29692
