Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,260021,1009573,1073899,355798
Depreciation & amortization,-,558171,537546,513176
Change in working capital,-,-249993,-457857,-74199
Inventory,-,-216432,-511473,478271
Other working capital,-,600972,1255906,-482988
Other non-cash items,-,-63143,-9220,13656
Net cash provided by operating activites,-,1447926,1715857,536847
Investments in property plant and equipment,-,-846954,-459951,-1019835
Acquisitions net,-,-755648,-490873,-
Purchases of investments,-,-12000,-,-
Sales/Maturities of investments,-,54012,-,-
Other investing activites,-,-385541,136578,-373472
Net cash used for investing activites,-,-2239112,-700103,-1393307
Net change in cash,-,1316450,883101,-370614
Cash at beginning of period,-,4769793,3886691,4257306
Cash at end of period,-,6086244,4769793,3886691
Operating Cash Flow,-,1447926,1715857,536847
Capital Expenditure,-,-846954,-459951,-1019835
Free Cash Flow,-,600972,1255906,-482988
