Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,721782,654970,666414
Liabilities,,,
Total Liabilities,509365,482780,470211
Stockholders' Equity,,,
Common Stock,15,-,-
Retained Earnings,163805,174558,188405
Accumulated other comprehensive income,8757,-2368,7798
Total stockholders' equity,212417,172190,196203
Total liabilities and stockholders' equity,721782,654970,666414
