Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-19.288,-4.79,-372.037,-505.661,-1118
Purchases of investments,-,-,-18.72,-,-
Sales/Maturities of investments,-,-,84.408,-,-
Other investing activites,-,-,-,-99.171,917.466
Net cash used for investing activites,-19.288,-4.79,-306.349,-604.832,-200.342
Common stock issued,500,500,2235,4141,2163
Common stock repurchased,-56.272,-75,-239.544,-252.19,-220.694
Net cash used privided by (used for) financing activities,364.883,425,1996,3889,1942
Net change in cash,-787.352,-676.521,533.911,1664,161.839
Cash at beginning of period,2733,2952,2417,757.642,594.528
Cash at end of period,1946,2275,2952,2417,757.642
Capital Expenditure,-19.288,-4.79,-372.037,-505.661,-1118
Free Cash Flow,-1152,-1102,-1528,-2126,-2698
