Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,220386,65788,441983,718646
Depreciation & amortization,-,61766,58673,54228
Change in working capital,-,526682,-5447358,-922269
Other working capital,5100688,1542745,-4242167,-2794267
Other non-cash items,-,-307337,346619,605720
Net cash provided by operating activites,5156876,1591521,-4153278,-2701990
Investments in property plant and equipment,-56188,-48776,-88889,-92276
Acquisitions net,-,-,-,-14616
Purchases of investments,-2563352,-1002379,-609949,-186018
Sales/Maturities of investments,1468010,35045,208098,58855
Other investing activites,-,-,-,2842
Net cash used for investing activites,-1102402,-1014804,-490131,-187336
Net change in cash,1457202,-1385195,-4200061,-1975704
Cash at beginning of period,8899970,10987311,15187372,17163076
Cash at end of period,10375284,9602116,10987311,15187372
Operating Cash Flow,5156876,1591521,-4153278,-2701990
Capital Expenditure,-56188,-48776,-88889,-92276
Free Cash Flow,5100688,1542745,-4242167,-2794267
