Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1002629,940559,1121010,784470
Depreciation & amortization,-,809189,844825,824829
Stock based compensation,-,13006,6420,31251
Change in working capital,-,-164358,628151,-326286
Other working capital,-,912914,1890304,-3684267
Other non-cash items,-,135383,203523,127482
Net cash provided by operating activites,-,1398705,2325643,1005907
Investments in property plant and equipment,-,-485791,-435339,-4690174
Purchases of investments,-,-1908,-1615,-2470
Sales/Maturities of investments,-,365332,953494,327013
Other investing activites,-,2,3,4
Net cash used for investing activites,-,-118543,1038386,-4464365
Net change in cash,-,-143211,1743016,600607
Cash at beginning of period,-,4737245,2994228,2393621
Cash at end of period,-,4594033,4737245,2994228
Operating Cash Flow,-,1398705,2325643,1005907
Capital Expenditure,-,-485791,-435339,-4690174
Free Cash Flow,-,912914,1890304,-3684267
