Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-78.6517,-78.6517,-411.6484,-1994
Purchases of investments,-,-,-,-189.7533
Sales/Maturities of investments,3296,3296,170.7712,305.3303
Other investing activites,-282.7715,-282.7715,-932.9498,-43.1258
Net cash used for investing activites,2934,2934,-1174,-1922
Common stock issued,-,-,506.9207,4678
Common stock repurchased,-,-,-,-210.4537
Net cash used privided by (used for) financing activities,-,-,506.9207,4468
Net change in cash,1313,1313,-1598,967.7419
Cash at beginning of period,391.3858,391.3858,1974,926.3412
Cash at end of period,1702,1702,375.6966,1894
Capital Expenditure,-78.6517,-78.6517,-411.6484,-1994
Free Cash Flow,-1700,-1700,-1343,-3573
