Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-86625,-60716,-54773,-80274,-83834
Sales/Maturities of investments,68478,115532,30802,90377,53327
Net cash used for investing activites,-18147,54816,-23971,10103,-30507
Dividends Paid,-26905,-27893,-25939,-24977,-24909
Other financing activites,-,-,-,-1,-
Net cash used privided by (used for) financing activities,-26905,-27893,-25939,-24978,-14909
Net change in cash,-9683,69261,-16473,15653,-16037
Cash at beginning of period,26032,4131,20604,4950,20987
Cash at end of period,16349,73392,4131,20604,4950
Free Cash Flow,35369,42338,33437,30528,29379
