Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-169.421,-169.421,-212.572,-47.876,-432.242
Acquisitions net,-1037,-1037,-,-,-
Other investing activites,-,-,-,-2506,-10795
Net cash used for investing activites,-1206,-1206,-212.572,-2554,-11228
Debt repayment,-,-,-,-3713,-5227
Common stock issued,-,-,-,12571,-
Common stock repurchased,-,-,-,-24.27,-
Other financing activites,-,-,-,-1576,965.286
Net cash used privided by (used for) financing activities,-,-,-,10901,-2555
Net change in cash,-1782,-1782,-3540,5424,-16222
Cash at beginning of period,4319,4319,7296,1498,18347
Cash at end of period,2425,2425,4319,7296,1498
Capital Expenditure,-169.421,-169.421,-212.572,-47.876,-432.242
Free Cash Flow,-745.267,-745.267,-3540,-2971,-2872
