Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,8081000,6962000,8116000,6635000
Depreciation & amortization,-,6902000,6751000,6746000
Change in working capital,-,-441000,-742000,-649000
Inventory,-,-83000,23000,7000
Other working capital,-,3940000,8061000,11894000
Other non-cash items,-,2402000,2668000,2957000
Net cash provided by operating activites,-,16845000,17676000,19185000
Investments in property plant and equipment,-,-12905000,-9615000,-7291000
Purchases of investments,-,-2000,-61000,-299000
Sales/Maturities of investments,-,1999000,2893000,50000
Other investing activites,-,-437000,88000,-107000
Net cash used for investing activites,-,-11311000,-6657000,-6725000
Net change in cash,-,-7029000,-3043000,3349000
Cash at beginning of period,-,17595000,20639000,17289000
Cash at end of period,-,10566000,17595000,20639000
Operating Cash Flow,-,16845000,17676000,19185000
Capital Expenditure,-,-12905000,-9615000,-7291000
Free Cash Flow,-,3940000,8061000,11894000
