Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,17157000,4697000,3971000,12136000
Depreciation & amortization,-,36914000,35197000,33175000
Change in working capital,-,-3396000,-5394000,13685000
Inventory,-,-4880000,-5223000,5393000
Other working capital,-,-27653000,-3369000,28238000
Other non-cash items,-,1618000,-1319000,1846000
Net cash provided by operating activites,-,40287000,30456000,62932000
Investments in property plant and equipment,-,-67940000,-33825000,-34694000
Acquisitions net,-,-,-27021000,-
Purchases of investments,-,-228000,-166000,-172000
Sales/Maturities of investments,-,324000,9321000,60000
Other investing activites,-,1788000,-1079000,157000
Net cash used for investing activites,-,-62110000,-50194000,-31394000
Net change in cash,-,43344000,-22649000,9033000
Cash at beginning of period,-,60086000,82733000,72169000
Cash at end of period,-,103407000,60086000,82733000
Operating Cash Flow,-,40287000,30456000,62932000
Capital Expenditure,-,-67940000,-33825000,-34694000
Free Cash Flow,-,-27653000,-3369000,28238000
