Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,571486,571486,578090,516890,265612
Depreciation & amortization,-,-,1999,1640,1423
Change in working capital,-,-,107689,-149189,8655
Inventory,-,-,73170,-89946,-
Other working capital,-,-,86092,-196002,10849
Other non-cash items,-,-,-11797,-5454,-8726
Net cash provided by operating activites,-,-,89074,-195797,11279
Investments in property plant and equipment,-,-,-2982,-205,-430
Acquisitions net,-,-,-,0,-796119
Purchases of investments,-,-,-104942,-156275,-128145
Sales/Maturities of investments,-,-,136666,83833,87386
Other investing activites,-,-,-2534,518,-11283
Net cash used for investing activites,-,-,179415,177963,-833592
Net change in cash,-,-,-117273,-29807,-114097
Cash at beginning of period,-,-,1184547,1129111,1325520
Cash at end of period,-,-,1003425,1184547,1129111
Operating Cash Flow,-,-,89074,-195797,11279
Capital Expenditure,-,-,-2982,-205,-430
Free Cash Flow,-,-,86092,-196002,10849
