Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,383563,365536,169095
Liabilities,,,
Total Liabilities,75215,57216,4342
Stockholders' Equity,,,
Common Stock,0,0,0
Retained Earnings,-12596,4525,2836
Total stockholders' equity,308348,308320,164752
Total liabilities and stockholders' equity,383563,365536,169095
