Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,215249,215249,211808,182265,132991
Interest Expense,87898,87898,54600,25438,14623
Income Before Tax,23465,23465,46046,98254,17207
Income Tax Expense,5431,5431,-5402,-2245,3443
Income from Continuing Operations,18034,18034,51448,100499,13764
Net Income,18034,18034,51448,100499,13773
Net Income available to common shareholders,18034,18034,51448,100499,13773
Basic EPS,-,-,1.28,2.75,0.40
Diluted EPS,-,-,1.24,2.65,0.39
Basic Average Shares,-,-,40056,36593,34202
Diluted Average Shares,-,-,41447,37860,35087
