Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,62260,62260,61047,57078,52763
Interest Expense,73167,73167,67913,68400,70401
Income Before Tax,24638,24638,24399,21708,17113
Income Tax Expense,7437,7437,7355,6699,5759
Income from Continuing Operations,17201,17201,17044,15009,11354
Net Income,17201,17201,17886,15149,11699
Net Income available to common shareholders,17201,17201,17886,15149,11699
Basic EPS,-,0.41,0.43,0.37,0.31
Diluted EPS,-,0.41,0.43,0.37,0.31
Basic Average Shares,-,42155,41771,40568,37491
Diluted Average Shares,-,42155,41790,40568,37491
