Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,16681000,18341000,18227000,17061000
Depreciation & amortization,-,17852000,16494000,16296000
Change in working capital,-,-16028000,6859000,1944000
Inventory,-,654000,-10875000,2410000
Other working capital,-,-5463000,15038000,19851000
Other non-cash items,-,913000,4885000,-8192000
Net cash provided by operating activites,-,22497000,49528000,39054000
Investments in property plant and equipment,-,-27960000,-34490000,-19203000
Acquisitions net,-,-2098000,-71000,-
Sales/Maturities of investments,-,37000,0,186000
Other investing activites,-,-526000,664000,197000
Net cash used for investing activites,-,-29428000,-32822000,-17037000
Net change in cash,-,-3719000,8864000,9252000
Cash at beginning of period,-,31651000,22787000,13534000
Cash at end of period,-,27931000,31651000,22787000
Operating Cash Flow,-,22497000,49528000,39054000
Capital Expenditure,-,-27960000,-34490000,-19203000
Free Cash Flow,-,-5463000,15038000,19851000
