Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-355348,-355348,-187435,-105798,-77655
Depreciation & amortization,-,-,30574,33873,32658
Change in working capital,-,-,-3308,-24666,-247161
Inventory,-,-,137787,-12978,11755
Other working capital,-,-,-220642,-198827,-296749
Other non-cash items,-,-,26086,25322,11585
Net cash provided by operating activites,-,-,-206994,-162847,-263462
Investments in property plant and equipment,-,-,-13648,-35980,-33287
Acquisitions net,-,-,-41,-154,8759
Other investing activites,-,-,95433,14421,81381
Net cash used for investing activites,-,-,92858,1746,70214
Net change in cash,-,-,-59077,52118,-14371
Cash at beginning of period,-,-,132418,76065,93236
Cash at end of period,-,-,72695,132418,76065
Operating Cash Flow,-,-,-206994,-162847,-263462
Capital Expenditure,-,-,-13648,-35980,-33287
Free Cash Flow,-,-,-220642,-198827,-296749
