Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,15530,15530,15459,14787,15267
Interest Expense,4933,4933,4233,3361,2685
Income Before Tax,440,440,-196,-1803,1254
Income Tax Expense,-9,-9,-177,-3462,0
Income from Continuing Operations,449,449,-19,1659,1254
Net Income,-176,449,-19,1659,1254
Net Income available to common shareholders,449,449,-19,1659,1254
Basic EPS,-,-,-0.01,0.52,0.39
Diluted EPS,-,-,-0.01,0.52,0.39
Basic Average Shares,-,-,3200,3200,3200
Diluted Average Shares,-,-,3200,3200,3200
