Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-30161,-71346,-3021,-173762,-1302
Sales/Maturities of investments,-,-,-,30015,1168
Net cash used for investing activites,-30161,-71346,-3021,-143747,-134
Common stock issued,-,49996,-,82552,-
Common stock repurchased,-,-741,-684,-,-874
Dividends Paid,-27113,-27602,-33090,-22891,-18907
Net cash used privided by (used for) financing activities,-788,39727,-24569,116558,-15231
Net change in cash,2642,776,1224,-1172,-266
Cash at beginning of period,2483,1659,435,1607,1873
Cash at end of period,5125,2435,1659,435,1607
Free Cash Flow,33591,32395,28814,26017,15099
