Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-12.8233,-12.8233
Net cash used for investing activites,-12.8233,-12.8233
Common stock issued,7284,7284
Common stock repurchased,-830.3468,-830.3468
Net cash used privided by (used for) financing activities,6984,6984
Net change in cash,3118,3118
Cash at beginning of period,647.5236,647.5236
Cash at end of period,3800,3800
Capital Expenditure,-12.8233,-12.8233
Free Cash Flow,-3867,-3867
