Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-309.279,-800.433,-1301,-1270
Acquisitions net,-,-105.935,-,-,-236.42
Other investing activites,-,-,0.001,-,-0.001
Net cash used for investing activites,-646.518,-415.214,-800.433,-1301,-1507
Common stock issued,-,2599,2745,475,5265
Common stock repurchased,-83.024,-315.817,-134.712,-,-137.097
Other financing activites,-,-,-0.001,-,-
Net cash used privided by (used for) financing activities,1299,2283,2611,475,5128
Net change in cash,-609.164,-90.772,-644.388,-2322,2308
Cash at beginning of period,1268,288.197,922.745,3246,937.776
Cash at end of period,659.012,192.653,288.197,922.745,3246
Capital Expenditure,-,-309.279,-800.433,-1301,-1270
Free Cash Flow,-1571,-2268,-3255,-2797,-2584
